#Junction;NODE_ID;X_COORDINATE;Y_COORDINATE;Z_COORDINATE;TIMESERIE_ID;Water_dem_base;Max_P
Junction;J20;0;0;6.096;DEM;31.55;100.0
Junction;J30;0;0;15.24;DEM;12.62;100.0
Junction;J110;0;0;15.24;DEM;31.55;100.0
Junction;J70;0;0;15.24;DEM;31.55;100.0
Junction;J60;0;0;15.24;DEM;31.55;100.0
Junction;J90;0;0;15.24;DEM90;63.09;100.0
Junction;J100;0;0;15.24;DEM;31.55;100.0
Junction;J40;0;0;15.24;DEM;12.62;100.0
Junction;J50;0;0;15.24;DEM;12.62;100.0
Junction;J80;0;0;15.24;DEM;31.55;100.0
Junction;J150;0;0;36.576;DEM;12.62;100.0
Junction;J140;0;0;24.384;DEM;12.62;100.0
Junction;J170;0;0;36.576;DEM170;12.62;100.0
Junction;J130;0;0;36.576;DEM;12.62;100.0
Junction;J160;0;0;36.576;DEM;50.47;100.0
Junction;J120;0;0;36.576;DEM;12.62;100.0
Junction;J55;0;0;24.384;DEM55;6.31;100.0
Junction;J75;0;0;24.384;DEM;6.31;100.0
Junction;J115;0;0;24.384;DEM;6.31;100.0
