#Pipe;ARC_ID;STARTNODE;ENDNODE;MIN_FLOW;MAX_FLOW;MODEL;Loss_deg2;Loss_deg1;Length;Diameter;Roughness
Pipe;T4;J20;J30;-1000;1000;;6.23989522169e-05;0.00311139027899;3657.6;609.6;120
Pipe;T30;J30;J60;-1000;1000;;7.7891652071e-05;0.00323996213206;1828.8;508;120
Pipe;T16;J60;J90;-1000;1000;;0.0327859516977;0.409964141287;1828.8;152.4;120
Pipe;T14;J70;J60;-1000;1000;;0.000238771868043;0.007933054296;1828.8;406.4;120
Pipe;T12;J70;J90;-1000;1000;;0.00252604924619;0.0524699736341;1828.8;254;120
Pipe;T2;J20;J70;-1000;1000;;6.23989522169e-05;0.00311139027899;3657.6;609.6;120
Pipe;T6;J20;J110;-1000;1000;;0.000264376331392;0.00989034087317;3657.6;457.2;120
Pipe;T48;J110;J100;-1000;1000;;0.00101146358101;0.0252433625146;1828.8;304.8;120
Pipe;T24;J100;J90;-1000;1000;;7.7891652071e-05;0.00323996213206;1828.8;508;120
Pipe;T10;J70;J100;-1000;1000;;3.11994760921e-05;0.00155569514578;1828.8;609.6;120
Pipe;T32;J30;J40;-1000;1000;;0.00774381189035;0.128437484185;1828.8;203.2;120
Pipe;T36;J40;J50;-1000;1000;;0.00101146358101;0.0252433625146;1828.8;304.8;120
Pipe;T38;J50;J80;-1000;1000;;0.00774381189035;0.128437484185;1828.8;203.2;120
Pipe;T18;J80;J60;-1000;1000;;0.000132188165533;0.00494517048379;1828.8;457.2;120
Pipe;T20;J80;J90;-1000;1000;;0.000238771868043;0.007933054296;1828.8;406.4;120
Pipe;T66;J50;J140;-1000;1000;;0.0154876237807;0.256874968369;3657.6;203.2;120
Pipe;T40;J140;J80;-1000;1000;;0.00101146358101;0.0252433625146;1828.8;304.8;120
Pipe;T28;J80;J150;-1000;1000;;0.000132188165533;0.00494517048379;1828.8;457.2;120
Pipe;T22;J150;J90;-1000;1000;;0.0327859516977;0.409964141287;1828.8;152.4;120
Pipe;T26;J150;J100;-1000;1000;;3.11994760921e-05;0.00155569514578;1828.8;609.6;120
Pipe;T42;J150;J140;-1000;1000;;7.7891652071e-05;0.00323996213206;1828.8;508;120
Pipe;T64;J140;J170;-1000;1000;;0.00202292716221;0.0504867249922;3657.6;304.8;120
Pipe;T60;J170;J130;-1000;1000;;0.00101146358101;0.0252433625146;1828.8;304.8;120
Pipe;T58;J130;J160;-1000;1000;;0.000238771868043;0.007933054296;1828.8;406.4;120
Pipe;T44;J160;J150;-1000;1000;;0.000466537577935;0.0135962831768;1828.8;355.6;120
Pipe;T50;J160;J110;-1000;1000;;0.00101146358101;0.0252433625146;1828.8;304.8;120
Pipe;T52;J110;J120;-1000;1000;;0.000466537577935;0.0135962831768;1828.8;355.6;120
Pipe;T56;J120;J130;-1000;1000;;0.00101146358101;0.0252433625146;1828.8;304.8;120
Pipe;T62;J140;J160;-1000;1000;;7.7891652071e-05;0.00323996213206;1828.8;508;120
Pipe;T46;J100;J160;-1000;1000;;0.000132188165533;0.00494517048379;1828.8;457.2;120
Pipe;T34;J50;J30;-1000;1000;;0.000699806366775;0.020394424794;2743.2;355.6;120
Pipe;T78;T65;J60;-1000;1000;;1.29819420371e-06;5.39993680515e-05;30.48;508;120
Pipe;T80;T165;J160;-1000;1000;;3.97953112277e-06;0.000132217574504;30.48;406.4;120
Pipe;T8;J70;J30;-1000;1000;;0.000699806366775;0.020394424794;2743.2;355.6;120
Pipe;T74;J50;J55;-1000;1000;;0.00101146358101;0.0252433625146;1828.8;304.8;120
Pipe;T76;J55;J75;-1000;1000;;0.00101146358101;0.0252433625146;1828.8;304.8;120
Pipe;T72;J75;J115;-1000;1000;;0.00101146358101;0.0252433625146;1828.8;304.8;120
Pipe;T68;J115;J140;-1000;1000;;0.00101146358101;0.0252433625146;1828.8;304.8;120
Pipe;T70;J75;J140;-1000;1000;;0.00101146358101;0.0252433625146;1828.8;304.8;120
Pipe;T178;J140;T165;-1000;1000;;3.97953112277e-06;0.000132217574504;30.48;406.4;120
Pipe;T54;J160;J120;-1000;1000;;0.00151719537166;0.037865043743;2743.2;304.8;120
