#Pipe;ARC_ID;STARTNODE;ENDNODE;MIN_FLOW;MAX_FLOW;MODEL;Loss_deg2;Loss_deg1;Length;Diameter;Roughness
Pipe;Tub788;Tank A;4;0;41.476;;0.000472531968;0.000442368;;;
Pipe;Tub790;4;10;0;9.145;;0.0109734912;0.00783648;;;
Pipe;Tub793;4;104;0;32.327;;0.000488208384;0.000368064;;;
Pipe;Tub794;9;42;0;62.387;;0.000620338176;0.0017712;;;
Pipe;Tub841;42;164;0;58.094;;0.00439686144;0.0087264;;;
Pipe;Tub911;104;206;0;21.716;;0.025380864;0.018576;;;
Pipe;Tub912;104;264;0;10.687;;0.0137355264;0.00435456;;;
Pipe;Tub993;164;175;0;58.094;;0.000030233088;0.000060048;;;
Pipe;Tub1020;186;197;0;58.094;;0.00000732312576;0.0000145152;;;
Pipe;Tub1033;164;164b;0;35.688;;0.00002426112;0.0000481248;;;
Pipe;Tub1036;197;284;0;58.094;;0.00336669696;0.00667872;;;
Pipe;Tub1085;206;249;0;21.716;;0.050761728;0.0236736;;;
Pipe;Tub1107;249;634;0;4.883;;0.00361304064;0.00114912;;;
Pipe;Tub1153;284;125;0;36.353;;0.0000692748288;0.000088128;;;
Pipe;Tub1154;112;312;0;10.687;;0.0482982912;0.0344736;;;
Pipe;Tub1178;284;774;-35.701;57.845;;0.000131383296;0.000219456;;;
Pipe;Tub1196;312;312b;0;9.701;;0.0433714176;0.0137376;;;
Pipe;Tub1208;320;321;0;6.603;;0.0084354048;0.00171072;;;
Pipe;Tub1209;320;325;0;5.974;;0.000114960384;0.00008208;;;
Pipe;Tub1210;321;321b;0;3.430;;0.00088086528;0.000629856;;;
Pipe;Tub1278;353;364;0;36.353;;0.00251569152;0.0031968;;;
Pipe;Tub1301;Tank B;130;0;26.163;;0.000692001792;0.000508032;;;
Pipe;Tub1304;364;Tank B;0;36.353;;0.000476264448;0.000391392;;;
Pipe;Tub1638;632;633;0;46.015;;0.00000379219968;0.0000108864;;;
Pipe;Tub1645;634;635;0;4.883;;0.000383698944;0.000121824;;;
Pipe;Tub1653;636;637;0;4.883;;0.000222455808;0.0000705888;;;
Pipe;Tub1677;201;201b;0;5.926;;0.00000379219968;0.0000108864;;;
Pipe;Tub1740;637;Tank C;-1.61;4.493;;0.76889088;0.2453162112;;;
Pipe;Tub1752;321;701;0;3.185;;0.00746496;0.0053568;;;
Pipe;Tub1753;701;729;0;3.008;;0.1679616;0.1234607616;;;
Pipe;Tub1783;729;Reservoir_E               ;0;3.008;;3.96389376;0.7269286464;;;
Pipe;Tub1793;Reservoir_E               ;745;0;3.008;;0.241864704;0.0798336;;;
Pipe;Tub1832;753;Tank F;-0.161;1.861;;2.00060928;0.3676814208;;;
Pipe;Tub1842;766;768;0;46.015;;0.00000251569152;0.00000717984;;;
Pipe;Tub1844;768;770;0;62.394;;0.00000200807424;0.0000057456;;;
Pipe;Tub1848;770;771;0;62.387;;0.00000251569152;0.00000717984;;;
Pipe;Tub1849;771;9;0;62.387;;0.00090326016;0.00123552;;;
Pipe;Tub1879;774;Tank A;-35.701;57.845;;0.0000349360128;0.00008850816;;;
Pipe;Tub1913;Bache_O               ;632;0;62.394;;0.00000607647744;0.0000173664;;;
Pipe;Tub1964;633;196;0;46.020;;0.00014556672;0.000147744;;;
Pipe;Tub1978;Tank D;320;0;12.577;;0.000650944512;0.000464832;;;
Pipe;Tub2010;632;209;0;46.015;;0.00014556672;0.000147744;;;
Pipe         ; Tubp1              ;633;201;0;5.926;;0.00000076142592;0.00000216864;;;
Pipe      ; Tubp2              ;777;Tank A;0;14.748;;0.000173187072;0.000219456;;;
