#Pipe;ARC_ID;STARTNODE;ENDNODE;MIN_FLOW;MAX_FLOW;MODEL;Loss_deg2;Loss_deg1;Length;Diameter;Roughness
Pipe;P1;N1;N2;0;100;;0.00000607647744;0.0000173664;;;
Pipe;P2;N2;N3;0;100;;0.00000076142592;0.00000216864;;;
Pipe;P4;N3;N3_V;0;100;;0.00000379219968;0.0000108864;;;
Pipe;P5;N4;N5;0;100;;0.00000200807424;0.0000057456;;;
Pipe;P6;N5;N6;0;100;;0.000620338176;0.0017712;;;
Pipe;P7;N6;N8;0;100;;0.00439686144;0.0087264;;;
Pipe;P8;N8;N7;0;100;;0.000030233088;0.000060048;;;
Pipe;P10;N8;N8_V;0;100;;0.00002426112;0.0000481248;;;
Pipe;P11;N9;N10;0;100;;0.00000732312576;0.0000145152;;;
Pipe;P12;N10;N11;0;100;;0.00336669696;0.00667872;;;
Pipe;P13;N11;N12;0;100;;0.0000692748288;0.000088128;;;
Pipe;P15;N13;N14;0;100;;0.00251569152;0.0031968;;;
Pipe;P16;N14;N15;0;100;;0.000692001792;0.000508032;;;
