#Pipe;ARC_ID;STARTNODE;ENDNODE;MIN_FLOW;MAX_FLOW;MODEL;Loss_deg2;Loss_deg1;Length;Diameter;Roughness
Pipe; p1              ;r1              ;n1              ;0;1000;;1.24209984756e-09;1.31841892523e-07;;;
Pipe; p10             ;n1              ;n10             ;0;1000;;1.24209984756e-09;1.31841892523e-07;;;
Pipe; p12             ;n1              ;n12             ;0;1000;;1.24209984756e-09;1.31841892523e-07;;;
Pipe; p11             ;n11             ;n2              ;0;1000;;1.24209984756e-09;1.31841892523e-07;;;
Pipe; p13             ;n13             ;n2              ;0;1000;;1.24209984756e-09;1.31841892523e-07;;;
Pipe; p2              ;n2              ;n3              ;0;1000;;0.000401813438289;0.00146165450127;;;
Pipe; p18             ;n3              ;n361            ;0;1000;;1.24209984756e-09;1.31841892523e-07;;;
Pipe; p361            ;n361            ;n362            ;0;1000;;1.24209984756e-09;1.31841892523e-07;;;
Pipe; p364            ;n364            ;n365            ;0;1000;;1.24209984756e-09;1.31841892523e-07;;;
Pipe; p4              ;n365            ;t6              ;0;1000;;0.00108857906103;0.0031288764662;;;
Pipe; p6              ;t6              ;n5         ;-1000;1000;;0.00129968367017;0.00317167337687;;;
Pipe; p5              ;t5              ;n5              ;-1000;1000;;0.000590765305921;0.00144166969235;;;
Pipe; p3              ;n3              ;t5              ;-1000;1000;;0.000544289613559;0.00156443639031;;;
Pipe; p19             ;n361            ;n361b          ;-1000;1000;;1.24209984756e-09;1.31841892523e-07;;;
