#Junction;NODE_ID;X_COORDINATE;Y_COORDINATE;Z_COORDINATE;TIMESERIE_ID;Water_dem_base;Max_P
Junction;D1;0;0;10;domestic;46.2770142070433;100.0
Junction;D2;0;0;10;domestic;86.7694016382064;100.0
Junction;J1;0;0;10;domestic;0;100.0
Junction;J2;0;0;20;domestic;0;100.0
Junction;J3;0;0;10;domestic;1.73538803276412;100.0
Junction;J4;0;0;5;domestic;40.4923874311631;100.0
Junction;J5;0;0;10;domestic;11.5692535517608;100.0
Junction;J7;0;0;5;domestic;2.31385071035217;100.0
Junction;J10;0;0;25;domestic;0;100.0
Junction;J12;0;0;20;domestic;0;100.0
Junction;J13;0;0;20;domestic;9.25540284166666;100.0
Junction;WT1_V;0;0;47;domestic;0;100.0
Junction;WT2_V;0;0;57;domestic;0;100.0
Junction;WT3_V;0;0;48;domestic;0;100.0
Junction;WT4_V;0;0;48;domestic;0;100.0
Junction;WT5_V;0;0;76;domestic;0;100.0
Junction;R4_V;0;0;10;domestic;0;100.0
Junction;WPC2;0;0;10;domestic;0;100.0
Junction;WT1_D;0;0;37;domestic;28.9231338794022;100.0
Junction;WT2_D;0;0;47;domestic;80.9847748623258;100.0
Junction;WT3_D;0;0;38;domestic;11.5692535517608;100.0
Junction;WT4_D;0;0;38;domestic;28.9231338794022;100.0
Junction;WT5_D;0;0;66;domestic;28.9231338794022;100.0
Junction;R4_D;0;0;0;domestic;46.2770142070433;100.0
