#Pipe;ARC_ID;STARTNODE;ENDNODE;MIN_FLOW;MAX_FLOW;MODEL;Loss_deg2;Loss_deg1;Length;Diameter;Roughness
Pipe;Tub2;J1;WT1_V;0;194.166666666667;;0.001674432;0;;;
Pipe;Tub3;J1;WT2_V;-73.0555555555556;342.777777777778;;0.00002592;0;;;
Pipe;Tub4;J2;J3;-320.555555555556;2.5;;0.0002592;0;;;
Pipe;Tub5;WPC2;J3;-123.611111111111;468.611111111111;;0.00005184;0;;;
Pipe;Tub6;WPC2;J4;-15;240;;0.000001296;0;;;
Pipe;Tub7;J4;J5;-34.4444444444444;176.944444444444;;0.000099792;0;;;
Pipe;Tub8;J5;WT3_V;-64.7222222222222;95.8333333333333;;0.006075648;0;;;
Pipe;Tub10;J5;D1;0;72.2222222222222;;0.0002592;0;;;
Pipe;Tub11;J2;D2;-60.8333333333333;211.111111111111;;0.000539136;0;;;
Pipe;Tub12;J3;J7;-136.944444444444;243.611111111111;;0.000088128;0;;;
Pipe;Tub13;J7;WT4_V;-170.277777777778;241.944444444444;;0.000334368;0;;;
Pipe;Tub14;J7;R4_V;-55.5555555555556;188.055555555556;;0.001674432;0;;;
Pipe;Tub16;J10;R4_V;-79.4444444444444;188.055555555556;;0.001171584;0;;;
Pipe;Tub19;J10;D2;-154.166666666667;119.722222222222;;0.000386208;0;;;
Pipe;Tub21;J12;J13;0;14.4444444444444;;0.00001944;0;;;
Pipe;Tub22;J12;WT5_V;-14.4444444444444;80;;0.00002592;0;;;
Pipe;Tub23;WT1;WT1_D;0;1000;;0.0000001;0;;;
Pipe;Tub24;WT2;WT2_D;0;1000;;0.0000001;0;;;
Pipe;Tub25;WT3;WT3_D;0;1000;;0.0000001;0;;;
Pipe;Tub26;WT4;WT4_D;0;1000;;0.0000001;0;;;
Pipe;Tub27;WT5;WT5_D;0;1000;;0.0000001;0;;;
Pipe;Tub28;R4;R4_D;0;1000;;0.0000001;0;;;
